id,startnode,endnode
APARK00101_APARK00201,APARK00101,APARK00201
APARK00101_APARK00301,APARK00101,APARK00301
APARK00101_APARK00401,APARK00101,APARK00401
APARK00101_APARK00501,APARK00101,APARK00501
APARK00101_APARK00601,APARK00101,APARK00601
APARK00101_APARK00701,APARK00101,APARK00701
APARK00101_APARK00801,APARK00101,APARK00801
APARK00101_APARK00901,APARK00101,APARK00901
APARK00101_APARK01001,APARK00101,APARK01001
APARK00101_APARK01101,APARK00101,APARK01101
APARK00101_APARK01201,APARK00101,APARK01201
APARK00101_APARK01301,APARK00101,APARK01301
APARK00101_APARK01401,APARK00101,APARK01401
APARK00101_APARK01501,APARK00101,APARK01501
APARK00101_APARK01601,APARK00101,APARK01601
APARK00101_APARK01701,APARK00101,APARK01701
APARK00101_APARK01801,APARK00101,APARK01801
APARK00201_APARK00301,APARK00201,APARK00301
APARK00201_APARK00401,APARK00201,APARK00401
APARK00201_APARK00501,APARK00201,APARK00501
APARK00201_APARK00601,APARK00201,APARK00601
APARK00201_APARK00701,APARK00201,APARK00701
APARK00201_APARK00801,APARK00201,APARK00801
APARK00201_APARK00901,APARK00201,APARK00901
APARK00201_APARK01001,APARK00201,APARK01001
APARK00201_APARK01101,APARK00201,APARK01101
APARK00201_APARK01201,APARK00201,APARK01201
APARK00201_APARK01301,APARK00201,APARK01301
APARK00201_APARK01401,APARK00201,APARK01401
APARK00201_APARK01501,APARK00201,APARK01501
APARK00201_APARK01601,APARK00201,APARK01601
APARK00201_APARK01701,APARK00201,APARK01701
APARK00201_APARK01801,APARK00201,APARK01801
APARK00301_APARK00401,APARK00301,APARK00401
APARK00301_APARK00501,APARK00301,APARK00501
APARK00301_APARK00601,APARK00301,APARK00601
APARK00301_APARK00701,APARK00301,APARK00701
APARK00301_APARK00801,APARK00301,APARK00801
APARK00301_APARK00901,APARK00301,APARK00901
APARK00301_APARK01001,APARK00301,APARK01001
APARK00301_APARK01101,APARK00301,APARK01101
APARK00301_APARK01201,APARK00301,APARK01201
APARK00301_APARK01301,APARK00301,APARK01301
APARK00301_APARK01401,APARK00301,APARK01401
APARK00301_APARK01501,APARK00301,APARK01501
APARK00301_APARK01601,APARK00301,APARK01601
APARK00301_APARK01701,APARK00301,APARK01701
APARK00301_APARK01801,APARK00301,APARK01801
APARK00401_APARK00501,APARK00401,APARK00501
APARK00401_APARK00601,APARK00401,APARK00601
APARK00401_APARK00701,APARK00401,APARK00701
